,Ind_Id,Gender,Car_Owner,Property_Owner,Children,Annual_Income,Type_Income,Education,Marital_Status,Housing_Type,Years_Of_Birth,Employed_Years,Type_Occupation,Family_Members,Label
122,5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,39.84,-8.71,Laborers,2,0
123,5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,36.48,-14.26,Core staff,2,0
124,5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,48.31,-8.42,Not_Known,2,0
125,5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,27.12,-0.88,Security staff,4,0
126,5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,27.58,-2.28,Laborers,2,0
127,5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.32,-2.97,Not_Known,2,0
128,5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,35.22,-3.83,Not_Known,4,0
129,5096234,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,46.81,-20.03,Medicine staff,2,0
130,5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,32.79,-4.79,Laborers,3,0
131,5062688,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,55.1,-2.4,High skill tech staff,2,0
132,5105685,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,38.72,-7.68,Private service staff,4,0
133,5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,36.09,-6.79,Managers,4,0
134,5065363,F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,28.8,-4.88,Core staff,2,0
135,5140074,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.44,-1.18,Core staff,2,0
136,5091963,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,51.53,-3.88,Drivers,2,0
137,5067149,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,38.27,-0.72,Not_Known,4,0
138,5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,31.84,-6.44,Not_Known,1,0
139,5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29.98,-1.13,Drivers,2,0
140,5096061,F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,39.24,-19.36,Medicine staff,4,0
141,5028917,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47.13,-4.9,Sales staff,2,0
142,5117778,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,39.47,-3.68,HR staff,1,0
143,5095310,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,33.76,-10.18,Core staff,2,0
144,5050655,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.18,-2.87,Accountants,2,0
145,5033817,F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,43.86,-7.31,Core staff,3,0
146,5052963,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27.35,-7.14,Laborers,2,0
147,5113159,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,27.02,-5.85,Laborers,1,0
148,5132800,F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,50.79,-4.2,Sales staff,1,0
149,5090549,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,41.76,-6.93,Not_Known,2,0
150,5054522,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,27.44,-6.33,Not_Known,3,0
151,5051061,F,N,N,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32.73,-3.62,Not_Known,4,0
152,5010707,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,43.46,-13.87,Drivers,2,0
153,5028984,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,52.23,-6.06,Laborers,1,0
154,5126034,F,Y,Y,0,108000.0,Working,Secondary / secondary special,Separated,House / apartment,47.04,-2.53,Cleaning staff,1,0
155,5021775,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,39.79,-4.25,Laborers,2,0
156,5046415,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,39.63,-4.3,Not_Known,2,0
157,5117314,M,N,Y,1,292500.0,Working,Secondary / secondary special,Married,House / apartment,45.57,-4.6,Laborers,3,0
158,5139548,F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,37.22,-17.36,Medicine staff,4,0
159,5096416,F,N,N,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,46.24,-0.27,Not_Known,2,0
160,5042286,F,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,29.61,-3.35,Secretaries,1,0
161,5050729,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,With parents,23.36,-1.45,Not_Known,1,0
162,5044935,M,N,Y,2,360000.0,State servant,Higher education,Married,House / apartment,43.91,-15.45,Managers,4,0
163,5113539,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,57.47,-4.87,Laborers,2,0
164,5033452,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,52.45,-15.06,Core staff,2,0
165,5065335,M,N,Y,0,202500.0,Commercial associate,Lower secondary,Married,Rented apartment,26.76,-5.3,Sales staff,2,0
166,5145978,F,Y,N,0,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,53.53,-16.11,Secretaries,1,0
167,5105614,F,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,33.79,-1.26,Accountants,4,0
168,5038845,F,N,Y,0,103500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46.59,-4.3,Sales staff,2,0
169,5105556,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,54.25,-12.42,Laborers,2,0
170,5028383,M,Y,N,0,337500.0,Working,Secondary / secondary special,Single / not married,With parents,31.08,-9.07,Core staff,1,0
171,5009980,F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,56.56,-10.61,Medicine staff,2,0
172,5009706,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,31.9,-0.94,Managers,2,0
173,5146463,M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,27.35,-5.27,Not_Known,2,0
174,5112662,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.61,-1.65,Managers,3,0
175,5096796,M,Y,Y,0,337500.0,Working,Higher education,Separated,House / apartment,36.13,-1.6,Laborers,1,0
176,5066597,F,N,N,1,360000.0,Commercial associate,Higher education,Civil marriage,House / apartment,40.56,-5.27,Sales staff,3,0
177,5143019,M,N,N,0,270000.0,Working,Secondary / secondary special,Married,With parents,32.24,-1.7,Laborers,2,0
178,5118617,F,N,N,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,43.21,-14.27,Sales staff,1,0
179,5042232,F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,35.2,-17.19,Sales staff,1,0
180,5125317,M,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,57.19,-7.46,Not_Known,2,0
181,5038814,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.06,-2.04,Not_Known,2,0
182,5095356,F,N,N,0,157500.0,Working,Secondary / secondary special,Single / not married,With parents,24.71,-2.85,Sales staff,1,0
183,5037266,M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,32.58,-3.62,Drivers,1,0
184,5052865,F,N,Y,0,94500.0,Commercial associate,Incomplete higher,Married,House / apartment,38.0,-9.47,Sales staff,2,0
185,5096211,M,N,N,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,38.93,-0.43,Low-skill Laborers,2,0
186,5023280,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.76,-6.73,Sales staff,2,0
187,5132340,F,N,Y,2,198000.0,Commercial associate,Incomplete higher,Separated,House / apartment,42.87,-7.7,Not_Known,3,0
188,5045917,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.55,-5.55,Drivers,2,0
189,5041073,F,N,Y,0,67500.0,Working,Secondary / secondary special,Single / not married,House / apartment,49.81,-0.52,Laborers,2,0
190,5149660,F,N,Y,1,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.66,-8.13,Realty agents,3,0
191,5022756,F,N,N,1,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,29.59,-8.67,Sales staff,2,0
192,5036562,F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,32.75,-13.99,Not_Known,3,0
193,5117754,M,Y,N,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,43.87,-4.52,Managers,2,0
194,5125281,F,N,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,44.6,-10.12,Sales staff,3,0
195,5149039,F,N,Y,2,270000.0,Commercial associate,Higher education,Civil marriage,House / apartment,30.16,-10.13,Laborers,4,0
196,5021267,F,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,39.76,-12.59,Laborers,3,0
197,5125166,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,32.79,-4.79,Laborers,3,0
198,5125524,M,N,N,2,171000.0,Working,Secondary / secondary special,Married,Municipal apartment,37.99,-15.55,Core staff,4,0
199,5010089,F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,28.23,-4.61,Laborers,2,0
200,5126457,F,N,N,0,94500.0,Working,Higher education,Married,House / apartment,46.1,-0.54,Security staff,2,0
201,5142763,F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,27.45,-1.45,Sales staff,1,0
202,5023261,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,58.09,-4.65,Drivers,2,0
203,5090861,F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.15,-5.94,Sales staff,2,0
204,5118397,M,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,-4.52,Drivers,2,0
205,5069399,M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,23.0,-4.13,Core staff,1,0
206,5008889,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46.62,-3.69,Core staff,1,0
207,5022041,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,27.53,-3.85,Sales staff,2,0
208,5126124,F,Y,N,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,41.6,-0.62,Medicine staff,2,0
209,5050853,M,N,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,25.99,-4.12,High skill tech staff,1,0
210,5024412,M,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,50.91,-13.93,Managers,2,0
211,5090612,F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,37.78,-7.96,Accountants,2,0
212,5028274,F,Y,N,2,360000.0,Working,Incomplete higher,Married,House / apartment,34.88,-6.06,Accountants,4,0
213,5028996,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,33.59,-0.98,Not_Known,2,0
214,5126322,F,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,48.71,-4.71,High skill tech staff,2,0
215,5053610,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,56.41,-10.08,Not_Known,2,0
216,5137401,F,N,N,0,157500.0,Working,Higher education,Separated,House / apartment,47.22,-8.22,Medicine staff,1,0
217,5142812,M,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,31.91,-11.71,Core staff,2,0
218,5053354,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,50.31,-0.3,Laborers,2,0
219,5087944,F,N,Y,0,72000.0,Working,Secondary / secondary special,Widow,House / apartment,54.58,-5.69,Cleaning staff,1,0
220,5068491,M,N,N,1,315000.0,Commercial associate,Higher education,Married,House / apartment,50.19,-0.3,Not_Known,3,0
221,5009739,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,40.16,-12.03,Core staff,2,0
222,5096991,F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,33.62,-0.35,Core staff,3,0
223,5046362,F,N,Y,0,90000.0,Working,Secondary / secondary special,Civil marriage,With parents,39.41,-0.38,Sales staff,2,0
224,5066817,F,Y,N,1,360000.0,Working,Higher education,Widow,House / apartment,45.15,-11.02,Managers,2,0
